time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.375907354e-08,-4.69080988207e-09,2.00936760386,6.28318086077,6.28308217643,0.0,9.34858521715e-06,-4.70947608579e-07,0.312221574726,-0.000194880562645,-0.00539982653452,0.0,499.906978976,499.513462782,499.745925108,-499.728687281
0.12000000000000001,5.10463623998e-06,-2.40634619859e-07,2.03747115124,6.28313886922,6.28270128996,0.0,0.000204927945043,-1.09663742283e-05,0.624446689637,-0.00170098509805,-0.00831560359268,0.0,500.064815994,499.852517112,499.829764087,-499.707869855
0.18,3.28733586666e-05,-2.64761397982e-06,2.08430034737,6.28305292039,6.28229096748,0.0,0.000781013744634,-8.18026990364e-05,0.936325284232,-0.000873386467919,-0.00403733454348,0.0,500.022607936,500.334251684,499.932121224,-499.971172116
0.23999999999999996,0.000104879356457,-1.13762240981e-05,2.14980324757,6.28301375173,6.28220703061,0.0,0.00164002359301,-0.000215221409936,1.24682023545,-0.00018789004511,0.0034153906879,0.0,499.984629462,500.52727034,500.006241827,-500.025838026
0.3,0.000228559658662,-2.90434779479e-05,2.23386109754,6.28290200762,6.28243419874,0.0,0.00245361410216,-0.000381497992959,1.55474297919,-0.00541147915758,0.00451755153497,0.0,500.114386689,500.194575104,500.117838478,-499.697903582
0.36000000000000004,0.000394520414929,-6.12602844118e-05,2.33630577657,6.28234671909,6.28275601475,0.0,0.00303881497543,-0.000748622211065,1.85963656853,-0.0182977829037,0.00700425534589,0.0,500.008123142,500.189139412,500.291041961,-499.30364664
0.4200000000000001,0.000586287378334,-0.000134109096788,2.45695449535,6.28113498875,6.28313027942,0.0,0.00330079730645,-0.00183099510724,2.16146859425,-0.024259716596,0.00465880883383,0.0,500.312598773,500.141707634,500.01786669,-499.525993735
0.48000000000000015,0.00078439485571,-0.000305804424031,2.59561180745,6.27959223476,0.000252248354588,0.0,0.00326423488748,-0.00408746650233,2.45985032607,-0.0287598535343,0.00603055796486,0.0,500.188978572,500.288768083,500.12247654,-499.72827006
0.5400000000000001,0.000971755197584,-0.000654823190834,2.75204410395,6.27773017109,0.00064843904981,0.0,0.00293176596953,-0.00777774361369,2.75389993311,-0.0359919914592,0.00772455337708,0.0,500.263403866,500.386620866,500.080594063,-499.478273532
0.6000000000000002,0.0011282079163,-0.00127591428781,2.92597789676,6.27539298541,0.00120343468241,0.0,0.00221747335067,-0.0132122370634,3.04316947708,-0.0456200378897,0.0121383829503,0.0,500.141554076,500.462784698,500.134598146,-499.348605385
0.6600000000000003,0.00122610204971,-0.00228630746516,3.11712413493,6.27245806491,0.00200154191454,0.0,0.000947962332488,-0.0208262747181,3.32758721998,-0.056456239411,0.0155325543947,0.0,500.034633707,500.281693747,500.459951321,-499.577180116
0.7200000000000003,0.00122628172083,-0.0038316254447,3.3251610509,6.26896891933,0.00301331624257,0.0,-0.00106506053691,-0.0311158651472,3.60613713193,-0.0617519347591,0.0193989104605,0.0,499.955565726,500.237075778,500.11222174,-499.623834963
0.7800000000000004,0.00107879956709,-0.00608391140127,3.54972427357,6.26520967329,0.00426874288084,0.0,-0.00400251520405,-0.0444226701209,3.87841454646,-0.0644958820544,0.0238110389972,0.0,499.804917139,500.126324997,499.913159361,-499.60210839
0.8400000000000004,0.000722308056736,-0.00922937497656,3.79045080175,6.26128567502,0.00557911205288,0.0,-0.00805009953359,-0.0609018723531,4.14486708735,-0.0672463467337,0.0175724276771,0.0,500.204149671,499.749558675,500.092367891,-499.772693534
0.9000000000000005,9.2196577826e-05,-0.0134608645851,4.04697335506,6.2571951319,0.00642228299579,0.0,-0.013068680745,-0.0806360990961,4.40490812559,-0.0700768681546,0.00587325950296,0.0,500.570906073,499.718649089,499.956461914,-499.622828262
0.9600000000000005,-0.000855863973738,-0.0189758818644,4.31888535816,6.25286439022,0.00650604060722,0.0,-0.0185565148129,-0.103702158838,4.65781531741,-0.0767265130602,-0.00953890407844,0.0,500.633355436,499.510591421,499.936430596,-499.316235213
1.0200000000000005,-0.00212975178006,-0.0259800618568,4.60577147755,6.24808144308,0.00561903567544,0.0,-0.0238132508277,-0.130317405396,4.90401371026,-0.0864569406165,-0.0281621880248,0.0,500.882870647,499.526636034,500.039847984,-499.186627453
1.0800000000000005,-0.00369051661731,-0.03469661231,4.90722612377,6.24268525984,0.00372689069475,0.0,-0.0279884155731,-0.160843548594,5.14340422584,-0.0979731519151,-0.0393187639295,0.0,500.513315023,499.700356198,500.384724336,-499.393018841
1.1400000000000006,-0.00545099356456,-0.04537408219,5.22284609051,6.23667984273,0.00113259505405,0.0,-0.0303912509683,-0.195749474007,5.37616350377,-0.104673996657,-0.0525289713368,0.0,500.879085815,499.916478169,500.302345691,-499.652922614
1.2000000000000006,-0.00728786492201,-0.0582852985701,5.55220286186,6.23032929362,6.28098185828,0.0,-0.0304474574942,-0.23533324253,5.6012787015,-0.108264437349,-0.0625841611228,0.0,500.676818053,499.94288041,500.188428413,-499.757770637
1.2600000000000007,-0.00904442786786,-0.0737158773919,5.89484060215,6.2238637316,6.27702635467,0.0,-0.0276489114691,-0.279733505967,5.81884704579,-0.106749592197,-0.0736177741079,0.0,500.703686244,499.897483268,500.040558277,-499.974917382
1.3200000000000007,-0.0105357455485,-0.0919537044185,6.25031239634,6.21762509239,6.27238380485,0.0,-0.0215351976004,-0.328874166947,6.02906924368,-0.0989280904118,-0.0862079143422,0.0,500.930093275,500.009491163,499.830384954,-500.218527643
